States,2011,2012,2013,2014,2015,2017,2018,2018,2019,2020,2021,2022,2023
Alabama,29.41,31.35,30.56,31.32,30.97,30.88,33.40,33.40,32.25,34.05,34.36,33.87,36.64
Alaska,34.30,27.99,34.15,28.65,34.27,33.38,27.97,27.97,34.14,29.93,30.32,30.48,39.17
Arizona,32.96,28.44,31.94,28.42,32.59,31.75,29.10,29.10,33.39,29.85,31.22,30.42,38.53
Arkansas,30.18,33.65,29.53,33.74,31.10,31.63,33.83,33.83,33.61,31.99,33.74,34.32,36.98
California,32.99,26.50,33.34,27.29,32.91,32.21,28.15,28.15,32.58,28.67,29.22,28.74,37.66
Colorado,33.94,25.09,33.23,25.48,33.09,32.12,25.77,25.77,33.02,26.16,28.07,26.81,38.64
Connecticut,31.40,28.99,30.87,27.64,31.72,30.42,29.59,29.59,33.00,29.23,30.21,30.69,36.64
Delaware,31.46,29.81,32.20,30.70,31.91,30.36,31.82,31.82,33.06,31.49,31.97,32.16,37.52
District of Columbia,31.91,23.72,32.00,26.38,31.62,27.61,26.90,26.90,31.51,26.89,25.70,25.25,38.21
Florida,32.28,28.70,31.59,28.40,32.30,30.88,30.50,30.50,33.93,30.19,#DIV/0!,30.28,37.68
Georgia,31.52,29.28,32.41,29.71,31.07,30.76,31.00,31.00,32.97,30.90,31.00,31.15,37.46
Hawaii,32.70,25.58,34.44,26.41,33.00,32.82,27.16,27.16,33.64,26.31,29.64,27.94,38.29
Idaho,33.11,27.99,32.22,28.56,31.93,31.98,28.53,28.53,32.35,29.52,30.02,30.76,37.94
Illinois,31.98,28.19,32.14,29.02,31.36,31.02,30.60,30.60,32.82,31.85,30.99,30.38,36.76
Indiana,30.44,30.51,30.01,30.67,30.06,30.82,31.12,31.12,32.92,31.63,32.35,32.63,38.43
Iowa,29.66,29.58,30.26,29.49,30.94,30.81,31.25,31.25,32.10,32.13,32.69,32.77,36.09
Kansas,29.47,30.17,30.79,30.34,31.57,30.85,30.58,30.58,32.62,31.26,32.16,31.23,36.28
Kentucky,31.37,32.38,30.72,31.41,31.73,31.28,33.05,33.05,30.71,33.65,33.88,32.84,#DIV/0!
Louisiana,29.72,32.65,30.54,32.61,31.77,32.43,33.38,33.38,33.92,33.41,34.47,33.20,37.69
Maine,32.50,28.63,32.58,27.94,32.33,30.09,29.98,29.98,31.41,29.38,29.29,30.69,38.86
Maryland,30.65,29.37,30.99,29.48,32.49,30.45,30.15,30.15,32.67,29.76,30.16,29.94,37.27
Massachusetts,32.46,27.21,32.13,27.19,31.21,29.73,29.07,29.07,30.62,27.53,28.51,28.78,37.01
Michigan,32.19,29.53,31.97,30.54,32.31,31.07,30.52,30.52,33.16,30.23,30.84,30.47,37.77
Minnesota,31.64,27.28,31.27,28.86,32.10,30.85,29.58,29.58,33.47,29.82,30.13,30.46,37.49
Mississippi,29.42,32.95,29.76,33.98,29.90,32.01,35.07,35.07,32.06,34.07,34.92,34.76,35.67
Missouri,30.68,30.45,30.73,29.80,31.74,30.74,31.80,31.80,30.90,31.84,31.40,32.29,34.70
Montana,32.68,27.74,33.51,27.86,34.34,31.42,29.31,29.31,35.36,28.17,29.49,28.87,39.16
Nebraska,30.48,29.11,31.21,29.85,31.78,31.07,31.37,31.37,32.21,30.84,32.81,32.21,36.95
Nevada,31.24,28.30,32.89,28.67,34.16,31.12,30.96,30.96,32.79,29.93,31.81,31.39,37.56
New Hampshire,32.13,26.91,32.64,27.42,33.12,29.93,29.53,29.53,33.79,29.11,28.18,29.35,39.19
New Jersey,32.43,29.30,31.69,29.67,31.20,30.58,30.86,30.86,#DIV/0!,29.44,30.37,30.58,37.17
New Mexico,32.99,28.02,33.42,29.40,33.83,32.63,29.71,29.71,35.06,30.74,31.11,31.69,38.26
New York,31.57,28.94,30.34,29.18,30.34,30.05,29.40,29.40,32.37,30.05,30.33,30.34,36.92
North Carolina,30.40,30.35,30.95,29.38,30.68,30.20,31.01,31.01,31.57,30.97,30.32,31.24,35.47
North Dakota,30.08,30.40,29.82,30.15,30.55,30.45,31.60,31.60,32.43,32.21,33.45,31.83,38.66
Ohio,32.84,29.88,31.48,31.00,31.64,30.95,30.88,30.88,33.05,31.39,32.31,32.22,38.03
Oklahoma,29.64,31.63,30.33,31.93,31.44,30.67,31.92,31.92,31.29,33.08,34.45,33.86,34.57
Oregon,33.55,25.99,34.33,25.94,33.57,31.40,28.21,28.21,32.57,27.97,28.96,29.00,38.57
Pennsylvania,30.62,29.74,30.40,28.99,31.71,31.19,30.14,30.14,32.24,30.85,30.38,30.24,#DIV/0!
Rhode Island,30.14,29.08,30.74,28.47,30.84,30.65,30.71,30.71,32.13,29.93,30.03,31.17,36.56
South Carolina,31.27,30.29,30.88,30.59,31.73,31.17,31.29,31.29,33.07,32.49,32.09,31.77,38.60
South Dakota,29.35,29.61,32.70,29.39,31.51,30.73,30.64,30.64,31.74,31.03,31.57,32.15,37.11
Tennessee,28.35,31.38,27.98,31.08,30.84,30.32,33.47,33.47,33.12,31.66,33.13,33.15,37.29
Texas,30.72,30.30,29.66,31.67,30.73,30.36,31.62,31.62,33.36,31.72,31.69,31.87,37.90
Utah,31.79,25.17,31.81,25.96,32.09,30.38,27.54,27.54,32.45,26.69,28.34,28.31,37.89
Vermont,32.83,25.96,32.95,26.56,32.85,31.20,27.19,27.19,33.25,27.50,26.92,27.83,38.19
Virginia,32.60,29.08,32.08,29.55,31.86,31.27,29.75,29.75,32.01,29.80,29.94,29.89,38.44
Washington,31.41,27.85,32.01,27.62,32.97,31.35,27.59,27.59,33.07,28.24,29.14,29.07,38.08
West Virginia,29.79,32.52,30.29,32.82,31.26,31.67,33.17,33.17,32.71,33.09,33.80,34.78,35.06
Wisconsin,33.15,29.42,32.37,29.92,32.74,31.89,31.64,31.64,34.33,30.55,30.63,31.21,36.67
Wyoming,31.95,28.62,32.42,29.54,34.08,32.06,28.94,28.94,33.99,30.30,31.89,31.40,38.58
